sources,target,author,date,statement,processed_statement
Joe Biden,1,Louis Jacobson,"June 6, 2024",“Wage increases have exceeded” the cost of inflation.,wage increases have exceeded the cost of inflation
Facebook posts,0,Ciara O'Rourke,"June 6, 2024",“James Woods leaves Hollywood to join Mel Gibson’s new non-woke film studio.”,james woods leaves hollywood to join mel gibson s new non woke film studio
Threads posts,0,Ciara O'Rourke,"June 6, 2024",U.S. Rep. Marjorie Taylor Greene said dinosaurs used to be called “by their biblical name … dragons.”,you s rep marjorie taylor greene said dinosaurs used to be called by their biblical name dragons
Facebook posts,0,Maria Briceño,"June 6, 2024",“Amazon está regalando las tabletas del año pasado a todos los residentes en Estados Unidos mayores de 30 años para deshacerse del exceso de inventario”.,amazon est regalando las tabletas del a o pasado a todos los residentes en estados unidos mayores de a os para deshacerse del exceso de inventario
Viral image,0,Ciara O'Rourke,"June 6, 2024",“Elon Musk invests $1 billion in Mel Gibson and Mark Wahlberg’s new un-woke production studio.”,elon musk invests billion in mel gibson and mark wahlberg s new un woke production studio
Donald Trump,0,Maria Ramirez,"• June 6,","Joe Biden “is letting millions of people from jails, from prisons, from insane asylums, from mental institutions, drug dealers pour in.”",joe biden is letting millions of people from jails from prisons from insane asylums from mental institutions drug dealers pour in
Facebook posts,0,Ciara O'Rourke,"June 5, 2024",“Denzel Washington rejects $100 million Disney offer to work with ‘woke’ Robert De Niro.”,denzel washington rejects million disney offer to work with woke robert de niro
Joe Biden,1,Samantha Putterman,"June 5, 2024","“Due to the arrangements that I've reached with (Mexico) President Obrador, the number of migrants coming … to our shared border unlawfully in recent months has dropped dramatically.”",due to the arrangements that i have reached with mexico president obrador the number of migrants coming to our shared border unlawfully in recent months has dropped dramatically
Threads posts,0,Ciara O'Rourke,"June 5, 2024",Former President Donald Trump “blew off his post-sentencing probation report.”,former president donald trump blew off his post sentencing probation report
Viral image,0,Ciara O'Rourke,"June 5, 2024",Photo shows former President Donald Trump’s probation officer.,photo shows former president donald trump s probation officer
Ron Johnson,1,Hope Karnopp,"June 5, 2024","Says in his three election campaigns, the early polls were ""wildly incorrect, all three times.""",says in his three election campaigns the early polls were wildly incorrect all three times
Threads posts,0,Ciara O'Rourke,"June 5, 2024",“Kyle Rittenhouse’s mom is 38.”,kyle rittenhouse s mom is
Facebook posts,0,Ciara O'Rourke,"June 4, 2024",“Elon Musk sues The View and Whoopi Goldberg for $60 million.”,elon musk sues the view and whoopi goldberg for million
Viral image,0,Ciara O'Rourke,"June 4, 2024","Elon Musk said, “I’d rather drink sewer water than see Taylor Swift at the Super Bowl.”",elon musk said i would rather drink sewer water than see taylor swift at the super bowl
Facebook posts,0,Kwasi Gyamfi,"• June 4,",“Every American over 25 is now entitled to get a prepaid reward card up to $500 to use for groceries and everyday expenses.”,every american over is now entitled to get a prepaid reward card up to to use for groceries and everyday expenses
Donald Trump,0,Louis Jacobson,"June 4, 2024",Joe Biden wants “to quadruple your taxes.”,joe biden wants to quadruple your taxes
Viral image,0,Ciara O'Rourke,"June 3, 2024",The U.S. Supreme Court ruled in May that “Texas SB-4 law is constitutional.”,the you s supreme court ruled in may that texas sb law is constitutional
Donald Trump,0,Amy Sherman,"June 3, 2024","Speaking about Hillary Clinton: “I didn’t say, ‘Lock her up.’ ”",speaking about hillary clinton i did not say lock her up
Facebook posts,0,Ciara O'Rourke,"June 3, 2024",“Walmart has announced starting June 3rd all locations in the U.S. will go back to 24hrs.”,walmart has announced starting june rd all locations in the you s will go back to hrs
Anderson Clayton,0,Paul Specht,"June 3, 2024",“Justice Paul Newby is out here removing judges who were elected to their positions by the voters of North Carolina!!!”,justice paul newby is out here removing judges who were elected to their positions by the voters of north carolina
Joe Biden,1,Samantha Putterman,"June 3, 2024",Donald Trump wants to terminate the Affordable Care Act.,donald trump wants to terminate the affordable care act
Viral image,0,Ciara O'Rourke,"June 3, 2024",Video shows a crowd celebrating former President Donald Trump’s conviction.,video shows a crowd celebrating former president donald trump s conviction
Viral image,0,Ciara O'Rourke,"June 3, 2024",Fox News reported on Taco Bell instead of former President Donald Trump’s conviction.,fox news reported on taco bell instead of former president donald trump s conviction
X posts,0,Madison Czopek,"May 31, 2024",Photo shows the judges who will hear the appeal of former President Donald Trump’s criminal conviction.,photo shows the judges who will hear the appeal of former president donald trump s criminal conviction
Facebook posts,0,Maria Briceño,"May 31, 2024",“Walmart está regalando los toboganes acuáticos hinchables del año pasado a todos los estadounidenses mayores de 28 años”.,walmart est regalando los toboganes acu ticos hinchables del a o pasado a todos los estadounidenses mayores de a os
Facebook posts,0,Sofia Ahmed,"May 31, 2024",Burger King is “closing its doors for good.”,burger king is closing its doors for good
Viral image,0,Ciara O'Rourke,"May 31, 2024",“Astronauts from the Challenger are alive!”,astronauts from the challenger are alive
Social Media,1,Sara Swann,"May 31, 2024","Under federal law, former President Donald Trump’s “felony convictions mean he can no longer possess guns.”",under federal law former president donald trump s felony convictions mean he can no longer possess guns
Jason Pizzo,1,Maria Ramirez,"• May 31,",“Trump can’t vote for himself in the November election.”,trump cannot vote for himself in the november election
Viral image,0,Ciara O'Rourke,"May 31, 2024",Pfizer sued Barbara O’Neill “because she exposed secrets that will keep everyone safe from the bird flu outbreak.”,pfizer sued barbara o neill because she exposed secrets that will keep everyone safe from the bird flu outbreak
Viral image,0,Ciara O'Rourke,"May 31, 2024",Photo shows former President Donald Trump in police custody May 30.,photo shows former president donald trump in police custody may
Jesse Watters,0,Madison Czopek,"May 31, 2024",Judge Juan Merchan “overrules every objection from the defense and sustains every objection from the prosecution” during former President Donald Trump’s New York trial.,judge juan merchan overrules every objection from the defense and sustains every objection from the prosecution during former president donald trump s new york trial
X posts,0,Jeff Cercone,"May 30, 2024",“Trump is no longer eligible to run for president and must drop out of the race immediately.”,trump is no longer eligible to run for president and must drop out of the race immediately
Instagram posts,0,Sofia Ahmed,"May 30, 2024",Joe Biden told West Point graduates that “he is not planning to accept the results of the 2024 election” and he wants them to “stand back and stand by” to ensure Donald J. Trump doesn’t win.,joe biden told west point graduates that he is not planning to accept the results of the election and he wants them to stand back and stand by to ensure donald j trump does not win
Instagram posts,0,Kwasi Gyamfi,"• May 30,","Noncitizens in Washington, D.C., “can vote in federal elections.”",noncitizens in washington d c can vote in federal elections
Facebook posts,0,Maria Briceño,"May 30, 2024","El actor, Arnold Schwarzenegger durmió en el suelo bajo su estatua de bronce porque se negaron a darle una habitación en un hotel.",el actor arnold schwarzenegger durmi en el suelo bajo su estatua de bronce porque se negaron a darle una habitaci n en un hotel
Social Media,0,Jeff Cercone,"May 30, 2024","""Warner Bros Cancels $10 Million Project Starring 'Woke' Robert De Niro.”",warner bros cancels million project starring woke robert de niro
Viral image,0,Ciara O'Rourke,"May 30, 2024",“The Simpsons” predicted Sean Combs’ legal problems.,the simpsons predicted sean combs legal problems
Instagram posts,0,Ciara O'Rourke,"May 30, 2024",“Sunflowers are turning away from the sun because that’s not the sun.”,sunflowers are turning away from the sun because that is not the sun
Facebook posts,0,Ciara O'Rourke,"May 30, 2024",Starbucks lattes contain semen.,starbucks lattes contain semen
Instagram posts,0,Maria Briceño,"May 29, 2024",“Revelan momentos exactos de la caída del helicóptero con el presidente de Iran abordo…”.,revelan momentos exactos de la ca da del helic ptero con el presidente de iran abordo
Social Media,0,Louis Jacobson,"May 29, 2024",Judge Juan Merchan told New York jurors the verdict in Donald Trump’s trial does not need to be unanimous.,judge juan merchan told new york jurors the verdict in donald trump s trial does not need to be unanimous
Instagram posts,0,Jeff Cercone,"May 29, 2024","When Secretary of State Antony Blinken was in Ukraine recently ""he announced that they were going to suspend elections in Ukraine.""",when secretary of state antony blinken was in ukraine recently he announced that they were going to suspend elections in ukraine
Facebook posts,0,Kwasi Gyamfi,"• May 29,",Footage “shows a completely flat horizon proving the flat Earth and completely destroying the globe theory.”,footage shows a completely flat horizon proving the flat earth and completely destroying the globe theory
X posts,0,Sofia Ahmed,"May 28, 2024",“(Actress) Candice King calls out Rafah massacre and beheaded babies.”,actress candice king calls out rafah massacre and beheaded babies
Facebook posts,0,Maria Briceño,"May 28, 2024",Video muestra a Rita Moreno revelando “sus gotitas” que la hicieron “ex diabetica”.,video muestra a rita moreno revelando sus gotitas que la hicieron ex diabetica
Facebook posts,0,Ciara O'Rourke,"May 28, 2024","NFL referees “flex their authority, eject five players” for kneeling during the national anthem.",nfl referees flex their authority eject five players for kneeling during the national anthem
Facebook posts,0,Ciara O'Rourke,"May 28, 2024",“Beyoncé offered Kid Rock millions to join him on stage at a few of his shows.”,beyonc offered kid rock millions to join him on stage at a few of his shows
Facebook posts,0,Sofia Ahmed,"May 28, 2024",Image shows a replica of the Statue of Liberty built from the ruins of a Syrian artist’s house.,image shows a replica of the statue of liberty built from the ruins of a syrian artist s house
Facebook posts,0,Madison Czopek,"May 28, 2024",“Elon Musk fires entire cast of 'The View' after acquiring ABC.”,elon musk fires entire cast of the view after acquiring abc
Facebook posts,0,Sofia Ahmed,"May 28, 2024","“Prince William announces heartbreak: ‘My wife, it’s over.’”",prince william announces heartbreak my wife it is over
Joe Biden,1,Louis Jacobson,"May 28, 2024",“Violent crime is near a record 50-year low.”,violent crime is near a record year low
Alex Jones,0,Sofia Ahmed,"May 24, 2024",“All of the satellite weather data for the day of the Iranian president’s crash has been removed.”,all of the satellite weather data for the day of the iranian president s crash has been removed
Instagram posts,0,Jeff Cercone,"May 24, 2024","Bird flu in the U.S. is a ""scamdemic"" timed to coincide with the 2024 presidential elections “by design.”",bird flu in the you s is a scamdemic timed to coincide with the presidential elections by design
Viral image,0,Ciara O'Rourke,"May 24, 2024",“Kansas City cancels three Pearl Jam shows at Arrowhead Stadium: ‘We stand with Harrison Butker.’”,kansas city cancels three pearl jam shows at arrowhead stadium we stand with harrison butker
Viral image,0,Ciara O'Rourke,"May 24, 2024","“Travis Kelce takes a stand, ‘I will resign if Harrison Butker is on the team next season.’”",travis kelce takes a stand i will resign if harrison butker is on the team next season
Viral image,0,Ciara O'Rourke,"May 23, 2024",“UN troops to be deployed across U.S. as Pentagon prepares for ‘civil unrest.’”,un troops to be deployed across you s as pentagon prepares for civil unrest
Donald Trump,0,Jeff Cercone,"May 23, 2024",“Biden’s DOJ was authorized to use DEADLY FORCE” in Mar-a-Lago raid. Biden was “locked and loaded” and “ready to take me out.”,biden s doj was authorized to use deadly force in mar a lago raid biden was locked and loaded and ready to take me out
X posts,1,Paul Specht,"May 22, 2024",North Carolina mask bill includes “specific carve outs for entities like the KKK to continue wearing hoods in public.”,north carolina mask bill includes specific carve outs for entities like the kkk to continue wearing hoods in public
Viral image,0,Ciara O'Rourke,"May 22, 2024","Kansas City Chiefs coach Andy Reid “says he’ll stand with Harrison Butker: ‘If they get rid of Harison, they get rid of me.'”",kansas city chiefs coach andy reid says he will stand with harrison butker if they get rid of harison they get rid of me
X posts,0,Loreben Tuquero,"May 21, 2024",Video shows turbulence on a Singapore Airlines flight that had one casualty.,video shows turbulence on a singapore airlines flight that had one casualty
Facebook posts,0,Ciara O'Rourke,"May 21, 2024",“Dr. Sebi’s daughter was sentenced to 155 years in prison for revealing top secret health hacks.”,dr sebi s daughter was sentenced to years in prison for revealing top secret health hacks
Facebook posts,0,Ciara O'Rourke,"May 21, 2024",“U.S. Olympic committee says Lia Thomas is welcome to try out for the men’s team.”,you s olympic committee says lia thomas is welcome to try out for the men s team
X posts,0,Jeff Cercone,"May 21, 2024","Fired Milwaukee election leader “printed 64,000 ballots in a back room at City Hall in Milwaukee and had random employees fill them out,” giving Joe Biden the lead.",fired milwaukee election leader printed ballots in a back room at city hall in milwaukee and had random employees fill them out giving joe biden the lead
X posts,0,Kwasi Gyamfi,"• May 21,",Photos show bodies of people who died in the helicopter crash with Iranian President Ebrahim Raisi.,photos show bodies of people who died in the helicopter crash with iranian president ebrahim raisi
Tom Tiffany,1,Laura Schulte,"May 21, 2024",“The science is clear — the gray wolf has met and exceeded recovery goals.”,the science is clear the gray wolf has met and exceeded recovery goals
Instagram posts,0,Loreben Tuquero,"May 20, 2024",Israel War Room posted a helicopter emoji “minutes before the news of the Iranian President’s helicopter crash landing broke.”,israel war room posted a helicopter emoji minutes before the news of the iranian president s helicopter crash landing broke
Mike Johnson,0,Maria Ramirez,"• May 20,",“The millions (of immigrants) that have been paroled can simply go to their local welfare office or the DMV and register to vote.”,the millions of immigrants that have been paroled can simply go to their local welfare office or the dmv and register to vote
Facebook posts,0,Ciara O'Rourke,"May 17, 2024","“Breaking News: The Grand Ole Opry Bans Beyoncé For Life, ‘Go Play Dress-Up, You’re Not Country.’”",breaking news the grand ole opry bans beyonc for life go play dress up you are not country
Instagram posts,0,Maria Briceño,"May 17, 2024","""La Cámara de Representantes de los Estados Unidos acaba de aprobar... el proyecto Antisemitismo que propone eliminar parte de la biblia"".",la c mara de representantes de los estados unidos acaba de aprobar el proyecto antisemitismo que propone eliminar parte de la biblia
Facebook posts,0,Ciara O'Rourke,"May 17, 2024","“Colin Kaepernick was fired from his new high school coaching job after just one season” because ""the kids couldn't stand him.""",colin kaepernick was fired from his new high school coaching job after just one season because the kids could not stand him
Jared Polis,1,Louis Jacobson,"May 17, 2024","Tariffs are a “direct, regressive tax on Americans” and President Joe Biden’s new tariffs on Chinese goods will “hit every family.”",tariffs are a direct regressive tax on americans and president joe biden s new tariffs on chinese goods will hit every family
Facebook posts,0,Loreben Tuquero,"May 17, 2024","The government is offering a $5,800 subsidy, and “every American qualifies for it.”",the government is offering a subsidy and every american qualifies for it
Threads posts,0,Jeff Cercone,"May 17, 2024",Chiefs kicker Harrison Butker said we should go back to a time when “women had more babies than thoughts.”,chiefs kicker harrison butker said we should go back to a time when women had more babies than thoughts
Ron Johnson,0,D.L. Davis,"May 17, 2024","""Every Senate Democrat has voted to support unlimited abortions up to the moment of birth.”",every senate democrat has voted to support unlimited abortions up to the moment of birth
Benny Johnson,0,Kwasi Gyamfi,"• May 17,",“Bombshell: Biden had pallets of classified docs sent to Mar-a-Lago before FBI raid! Trump was setup.”,bombshell biden had pallets of classified docs sent to mar a lago before fbi raid trump was setup
Lila Rose,0,Jeff Cercone,"May 17, 2024",Anti-abortion activist sentenced to 57 months in prison for “handing roses and resources to women at an abortion facility.”,anti abortion activist sentenced to months in prison for handing roses and resources to women at an abortion facility
Tammy Baldwin,1,Madeline Heim,"May 17, 2024","“When I worked on the Affordable Care Act, I wrote the amendment that allows all young people to stay on their parents’ health insurance until they turn 26. Overnight, millions of young Americans got health care.”",when i worked on the affordable care act i wrote the amendment that allows all young people to stay on their parents health insurance until they turn overnight millions of young americans got health care
X posts,0,Sara Swann,"May 16, 2024",Sen. Katie Britt introduced a bill “to create a national registry of pregnant women.”,sen katie britt introduced a bill to create a national registry of pregnant women
X posts,0,Loreben Tuquero,"May 16, 2024",Video shows Slovakia Prime Minister Fico speaking against the World Health Organization the week before he was the target of an assassination attempt.,video shows slovakia prime minister fico speaking against the world health organization the week before he was the target of an assassination attempt
Facebook posts,0,Maria Briceño,"May 16, 2024",“Lo vuelve hacer… se escapa” Joaquín Archivaldo Guzmán Loera “El Chapo”.,lo vuelve hacer se escapa joaqu n archivaldo guzm n loera el chapo
Facebook posts,0,Kwasi Gyamfi,"• May 16,",“They are hiding the fact that Barbara O’Neill’s cousin was sentenced to life in prison for revealing these gatekept health secrets.”,they are hiding the fact that barbara o neill s cousin was sentenced to life in prison for revealing these gatekept health secrets
Tucker Carlson,0,Sofia Ahmed,"May 16, 2024",Lyme disease became endemic because of U.S. government bioweapons labs.,lyme disease became endemic because of you s government bioweapons labs
Viral image,0,Grace Abels,"May 16, 2024","CNBC reported that ""Apple device update set to remove clown emoji"" because it has become a far-right symbol.",cnbc reported that apple device update set to remove clown emoji because it has become a far right symbol
Instagram posts,0,Maria Briceño,"May 16, 2024",“The House of Representatives in the U.S. just passed … the Antisemitism Act that proposes to eliminate part of the Bible.”,the house of representatives in the you s just passed the antisemitism act that proposes to eliminate part of the bible
Facebook posts,0,Madison Czopek,"May 16, 2024",“Voter fraud investigations are being banned by Michigan lawmakers!”,voter fraud investigations are being banned by michigan lawmakers
Viral image,0,Ciara O'Rourke,"May 16, 2024",Video shows CNN report about actor Robert Downey Jr.’s app “to earn money.”,video shows cnn report about actor robert downey jr s app to earn money
Viral image,0,Ciara O'Rourke,"May 15, 2024","South Dakota Gov. Kristi Noem said, “At least I have the guts to look in the eyes of the animal I’m killing!”",south dakota gov kristi noem said at least i have the guts to look in the eyes of the animal i am killing
Facebook posts,0,Ciara O'Rourke,"May 15, 2024",“Elon Musk confirms — ’The rapture is going to happen VERY soon.’”,elon musk confirms the rapture is going to happen very soon
Facebook posts,0,Ciara O'Rourke,"May 15, 2024",This video shows BBC News reporting on the “tragic end of Elon Musk.”,this video shows bbc news reporting on the tragic end of elon musk
Threads posts,0,Ciara O'Rourke,"May 15, 2024",Image shows a “huge snake found by a hiker near South Carolina creek.”,image shows a huge snake found by a hiker near south carolina creek
Bret Weinstein,0,Sofia Ahmed,"May 15, 2024",The World Health Organization is discussing ending the First Amendment.,the world health organization is discussing ending the first amendment
X posts,0,Sofia Ahmed,"May 15, 2024",Video shows Muslim migrants in Sweden destroying property because an Israeli singer took part in Eurovision.,video shows muslim migrants in sweden destroying property because an israeli singer took part in eurovision
X posts,0,Jeff Cercone,"May 15, 2024","“Alvin Bragg’s office deleted 3 pages of phone call records of Michael Cohen with Stormy Daniels’ lawyer,” which is evidence tampering.",alvin bragg s office deleted pages of phone call records of michael cohen with stormy daniels lawyer which is evidence tampering
Donald Trump,0,Amy Sherman,"May 15, 2024",“Biden wants to immediately stop all aid to Israel.”,biden wants to immediately stop all aid to israel
Threads posts,0,Loreben Tuquero,"May 15, 2024",Photo shows actor Timothy Olyphant holding a shirt that says “I love Trump because he pisses off all the people I can’t stand.”,photo shows actor timothy olyphant holding a shirt that says i love trump because he pisses off all the people i cannot stand
Joe Biden,0,Louis Jacobson,"May 15, 2024",Inflation “was 9% when I came to office.”,inflation was when i came to office
Tyler August,1,Sophia Voight,"May 15, 2024",“Nearly 90% of all UW graduates stay in Wisconsin 5 years after they graduate.”,nearly of all uw graduates stay in wisconsin years after they graduate
Facebook posts,0,Ciara O'Rourke,"May 15, 2024",“El rey de Dinamarca iza la Bandera de Palestina”.,el rey de dinamarca iza la bandera de palestina
Viral image,0,Ciara O'Rourke,"May 14, 2024",Video shows “Chicago ceremonially raises the Palestinian flag.”,video shows chicago ceremonially raises the palestinian flag
Joe Biden,0,Louis Jacobson,"May 14, 2024","""China's in a situation where they have more retired than working.""",china s in a situation where they have more retired than working
Viral image,0,Ciara O'Rourke,"May 14, 2024",“The king of Denmark waved the Palestinian flag from the balcony in support of Palestine.”,the king of denmark waved the palestinian flag from the balcony in support of palestine
Donald Trump,1,Amy Sherman,"May 14, 2024","Robert F. Kennedy Jr. called voter ID “racist,” calls NRA a “terrorist organization” and supports affirmative action.",robert f kennedy jr called voter id racist calls nra a terrorist organization and supports affirmative action
Instagram posts,0,Ciara O'Rourke,"May 14, 2024","“George Soros is a roaring, cold-blooded Nazi sociopath.”",george soros is a roaring cold blooded nazi sociopath
Facebook posts,0,Jeff Cercone,"May 13, 2024",Aurora borealis sightings a “fabricated light show” created by a HAARP experiment.,aurora borealis sightings a fabricated light show created by a haarp experiment
Facebook posts,0,Madison Czopek,"May 13, 2024",Video shows dolphins saving a mother whale and newborn from sharks.,video shows dolphins saving a mother whale and newborn from sharks
Facebook posts,0,Ciara O'Rourke,"May 13, 2024","“There is no campaigning going on, none whatsoever.”",there is no campaigning going on none whatsoever
Threads posts,0,Ciara O'Rourke,"May 13, 2024","“Truth Social is shut down, no longer operable.”",truth social is shut down no longer operable
Facebook posts,0,Ciara O'Rourke,"May 13, 2024",“Jay-Z paid more than $20 million to country radio stations to play Beyoncé songs so she’d top the Billboard country charts.”,jay z paid more than million to country radio stations to play beyonc songs so she would top the billboard country charts
Instagram posts,0,Sara Swann,"May 10, 2024",Video proves all sizes of Starbucks’ paper drink cups hold the same amount of liquid.,video proves all sizes of starbucks paper drink cups hold the same amount of liquid
Facebook posts,0,Maria Briceño,"May 10, 2024","“Denzel Washington, Mark Wahlberg y Sylvester Stallone han dimitido del Sindicato de Actores para crear un nuevo sindicato ‘no-woke’”.",denzel washington mark wahlberg y sylvester stallone han dimitido del sindicato de actores para crear un nuevo sindicato no woke
Facebook posts,0,Loreben Tuquero,"May 10, 2024",Images show Beyoncé at the 2024 Met Gala.,images show beyonc at the met gala
Facebook posts,0,Sara Swann,"May 10, 2024","Esta foto muestra la ""imagen más clara jamás tomada de Venus"".",esta foto muestra la imagen m s clara jam s tomada de venus
Paul Renner,0,Maria Briceño,"May 10, 2024","For health risk exceptions in Florida’s abortion amendment, “You're not even talking to a doctor to make that determination.”",for health risk exceptions in florida s abortion amendment you are not even talking to a doctor to make that determination
Viral image,0,Ciara O'Rourke,"May 10, 2024","Stormy Daniels said former President Donald Trump yelled, “I’m yuge! I’m the greatest,” before falling asleep.",stormy daniels said former president donald trump yelled i am yuge i am the greatest before falling asleep
Facebook posts,0,Sofia Ahmed,"May 10, 2024",Image shows orangutan “stretching out his hand to help a geologist who fell into a mud pool.”,image shows orangutan stretching out his hand to help a geologist who fell into a mud pool
Facebook posts,0,Kwasi Gyamfi,"• May 10,",Viral images show Lady Gaga at the 2024 Met Gala.,viral images show lady gaga at the met gala
MAGA Inc,0,Maria Ramirez,"• May 9,",President Joe Biden is paying rent for immigrants illegally in the country.,president joe biden is paying rent for immigrants illegally in the country
Rick Scott,0,Maria Ramirez,"• May 9,",“Joe Biden flew hundreds of thousands of illegals into Florida last year.”,joe biden flew hundreds of thousands of illegals into florida last year
Facebook posts,0,Sara Swann,"May 9, 2024",Photo shows “clearest image ever taken of Venus.”,photo shows clearest image ever taken of venus
Facebook posts,0,Ciara O'Rourke,"May 9, 2024","“In an interview with People magazine,” Kelly Clarkson “said she will file a lawsuit over keto ads on Facebook.”",in an interview with people magazine kelly clarkson said she will file a lawsuit over keto ads on facebook
Facebook posts,0,Sara Swann,"May 9, 2024",White House Press Secretary Karine Jean-Pierre said the United States and Ukraine won World War II.,white house press secretary karine jean pierre said the united states and ukraine won world war ii
Viral image,0,Ciara O'Rourke,"May 8, 2024",Video proves the moon landing was a hoax.,video proves the moon landing was a hoax
Facebook posts,0,Ciara O'Rourke,"May 8, 2024",Second Boeing Whistleblower Killed In 2 Months!,second boeing whistleblower killed in months
Facebook posts,0,Sara Swann,"May 8, 2024",Image shows Rihanna at the 2024 Met Gala.,image shows rihanna at the met gala
Viral image,0,Ciara O'Rourke,"May 7, 2024",Photo shows “Palestine misspelled on the stairs” of Columbia University.,photo shows palestine misspelled on the stairs of columbia university
Facebook posts,0,Loreben Tuquero,"May 7, 2024",“Dr. Sebi’s cousin was sent to life in prison for revealing these gatekept health secrets.”,dr sebi s cousin was sent to life in prison for revealing these gatekept health secrets
Facebook posts,0,Madison Czopek,"May 7, 2024",Images show Katy Perry at the 2024 Met Gala.,images show katy perry at the met gala
Facebook posts,0,Ciara O'Rourke,"May 7, 2024",“The US Women's team has made it clear that they will resign immediately if the Olympic Committee allows Lia Thomas to try out.”,the us women s team has made it clear that they will resign immediately if the olympic committee allows lia thomas to try out
Facebook posts,0,Grace Abels,"May 7, 2024",“Democrats are calling to redesign the American Flag to make it more inclusive” by featuring rainbow colored stripes.,democrats are calling to redesign the american flag to make it more inclusive by featuring rainbow colored stripes
Facebook posts,0,Ciara O'Rourke,"May 7, 2024",Video shows a Fox News report about a fight featuring Dr. Mehmet Oz.,video shows a fox news report about a fight featuring dr mehmet oz
Viral image,0,Ciara O'Rourke,"May 7, 2024","A university professor said on X, “Misgendering a pet can result in serious microsubconscious distress.”",a university professor said on x misgendering a pet can result in serious microsubconscious distress
Facebook posts,0,Ciara O'Rourke,"May 7, 2024",Video shows Brad Pitt promoting a hair loss product.,video shows brad pitt promoting a hair loss product
Viral image,0,Ciara O'Rourke,"May 7, 2024",President Joe Biden “can suspend presidential elections ‘if’ a new pandemic hits the U.S.” under Executive Order 14122.,president joe biden can suspend presidential elections if a new pandemic hits the you s under executive order
Facebook posts,0,Sara Swann,"May 6, 2024",Video shows a mother encouraging her son “who identifies as a cat to use the litter box at school.”,video shows a mother encouraging her son who identifies as a cat to use the litter box at school
Facebook posts,0,Sara Swann,"May 3, 2024","""Estudiantes de la Universidad de Harvard cambiaron la bandera estadounidense por la de Palestina.""",estudiantes de la universidad de harvard cambiaron la bandera estadounidense por la de palestina
Facebook posts,0,Ciara O'Rourke,"May 3, 2024",An executive order proves President Joe Biden “isn’t real and isn’t president.”,an executive order proves president joe biden is not real and is not president
Facebook posts,0,Ciara O'Rourke,"May 3, 2024",Video shows Dr. Mehmet Oz promoting his “exclusive pills” to lose weight.,video shows dr mehmet oz promoting his exclusive pills to lose weight
Facebook posts,0,Ciara O'Rourke,"May 3, 2024",U.S. News & World Report reported that actor Keanu Reeves rejected a “‘woke’ movie offer.”,you s news world report reported that actor keanu reeves rejected a woke movie offer
Facebook posts,0,Ciara O'Rourke,"May 3, 2024",Hacker Hamza Bendelladj was executed.,hacker hamza bendelladj was executed
Threads posts,0,Ciara O'Rourke,"May 3, 2024",“Donald Trump wants to build an ‘iron dome’ at the border of our country to ‘defend us’ from Canada.”,donald trump wants to build an iron dome at the border of our country to defend us from canada
Facebook posts,0,Sara Swann,"May 3, 2024",Video shows “protesters at Harvard replace American flag with Palestinian flag.”,video shows protesters at harvard replace american flag with palestinian flag
Joe Biden,1,Samantha Putterman,"May 3, 2024",Former President Donald Trump told Time magazine that “states should monitor women’s pregnancies and prosecute those who violate abortion bans.”,former president donald trump told time magazine that states should monitor women s pregnancies and prosecute those who violate abortion bans
Donald Trump,0,Amy Sherman,"May 3, 2024",“I’m not allowed to testify” because of a gag order.,i am not allowed to testify because of a gag order
Viral image,0,Ciara O'Rourke,"May 3, 2024",Four people “tested positive” after a Texas pool was “infected with AIDS.”,four people tested positive after a texas pool was infected with aids
Facebook posts,0,Maria Briceño,"May 3, 2024",El 1 de mayo de 2024 confirmaron el fallecimiento del presidente de México Andrés Manuel López Obrador.,el de mayo de confirmaron el fallecimiento del presidente de m xico andr s manuel l pez obrador
Facebook posts,0,Maria Briceño,"May 2, 2024","Video muestra a Alexa diciendo que los siete libros apócrifos agregados a la Biblia por la iglesia católica son ""historia inventada y manipuladas que solo hablan de brujería, idolatría y consulta a los muertos"".",video muestra a alexa diciendo que los siete libros ap crifos agregados a la biblia por la iglesia cat lica son historia inventada y manipuladas que solo hablan de brujer a idolatr a y consulta a los muertos
Viral image,0,Ciara O'Rourke,"May 2, 2024","“Airbnb is expecting large-scale government actions and lockdowns to begin on June 6, 2024, according to a newly obtained email.”",airbnb is expecting large scale government actions and lockdowns to begin on june according to a newly obtained email
Greg Steube,1,Maria Ramirez,"• May 2,","Immigrants in the country illegally cost “Florida taxpayers $566 million for 54,000 hospital visits.”",immigrants in the country illegally cost florida taxpayers million for hospital visits
Kamala Harris,1,Louis Jacobson,"May 2, 2024","In his Time magazine interview, Donald Trump “said states have the right to monitor pregnant women to enforce these bans, and states have the right to punish pregnant women for seeking out abortion care.”",in his time magazine interview donald trump said states have the right to monitor pregnant women to enforce these bans and states have the right to punish pregnant women for seeking out abortion care
Nancy Pelosi,1,Louis Jacobson,"May 2, 2024",Former President Donald Trump “has the worst record of job loss of any president.”,former president donald trump has the worst record of job loss of any president
Facebook posts,0,Ciara O'Rourke,"May 1, 2024","As of April 24, “there was active military in 360 U.S. cities awaiting a Supreme Court announcement ‘that will rock the world’ and trigger cabal deep state planned protests.”",as of april there was active military in you s cities awaiting a supreme court announcement that will rock the world and trigger cabal deep state planned protests
